Date,Rate
1953-04-18,2.83
1953-05-18,3.05
1953-06-18,3.11
1953-07-18,2.93
1953-08-18,2.95
1953-09-18,2.87
1953-10-18,2.66
1953-11-18,2.68
1953-12-18,2.59
1954-01-18,2.48
1954-02-18,2.47
1954-03-18,2.37
1954-04-18,2.29
1954-05-18,2.37
1954-06-18,2.38
1954-07-18,2.30
1954-08-18,2.36
1954-09-18,2.38
1954-10-18,2.43
1954-11-18,2.48
1954-12-18,2.51
1955-01-18,2.61
1955-02-18,2.65
1955-03-18,2.68
1955-04-18,2.75
1955-05-18,2.76
1955-06-18,2.78
1955-07-18,2.90
1955-08-18,2.97
1955-09-18,2.97
1955-10-18,2.88
1955-11-18,2.89
1955-12-18,2.96
1956-01-18,2.90
1956-02-18,2.84
1956-03-18,2.96
1956-04-18,3.18
1956-05-18,3.07
1956-06-18,3.00
1956-07-18,3.11
1956-08-18,3.33
1956-09-18,3.38
1956-10-18,3.34
1956-11-18,3.49
1956-12-18,3.59
1957-01-18,3.46
1957-02-18,3.34
1957-03-18,3.41
1957-04-18,3.48
1957-05-18,3.60
1957-06-18,3.80
1957-07-18,3.93
1957-08-18,3.93
1957-09-18,3.92
1957-10-18,3.97
1957-11-18,3.72
1957-12-18,3.21
1958-01-18,3.09
1958-02-18,3.05
1958-03-18,2.98
1958-04-18,2.88
1958-05-18,2.92
1958-06-18,2.97
1958-07-18,3.20
1958-08-18,3.54
1958-09-18,3.76
1958-10-18,3.80
1958-11-18,3.74
1958-12-18,3.86
1959-01-18,4.02
1959-02-18,3.96
1959-03-18,3.99
1959-04-18,4.12
1959-05-18,4.31
1959-06-18,4.34
1959-07-18,4.40
1959-08-18,4.43
1959-09-18,4.68
1959-10-18,4.53
1959-11-18,4.53
1959-12-18,4.69
1960-01-18,4.72
1960-02-18,4.49
1960-03-18,4.25
1960-04-18,4.28
1960-05-18,4.35
1960-06-18,4.15
1960-07-18,3.90
1960-08-18,3.80
1960-09-18,3.80
1960-10-18,3.89
1960-11-18,3.93
1960-12-18,3.84
1961-01-18,3.84
1961-02-18,3.78
1961-03-18,3.74
1961-04-18,3.78
1961-05-18,3.71
1961-06-18,3.88
1961-07-18,3.92
1961-08-18,4.04
1961-09-18,3.98
1961-10-18,3.92
1961-11-18,3.94
1961-12-18,4.06
1962-01-18,4.08
1962-02-18,4.04
1962-03-18,3.93
1962-04-18,3.84
1962-05-18,3.87
1962-06-18,3.91
1962-07-18,4.01
1962-08-18,3.98
1962-09-18,3.98
1962-10-18,3.93
1962-11-18,3.92
1962-12-18,3.86
1963-01-18,3.83
1963-02-18,3.92
1963-03-18,3.93
1963-04-18,3.97
1963-05-18,3.93
1963-06-18,3.99
1963-07-18,4.02
1963-08-18,4.00
1963-09-18,4.08
1963-10-18,4.11
1963-11-18,4.12
1963-12-18,4.13
1964-01-18,4.17
1964-02-18,4.15
1964-03-18,4.22
1964-04-18,4.23
1964-05-18,4.20
1964-06-18,4.17
1964-07-18,4.19
1964-08-18,4.19
1964-09-18,4.20
1964-10-18,4.19
1964-11-18,4.15
1964-12-18,4.18
1965-01-18,4.19
1965-02-18,4.21
1965-03-18,4.21
1965-04-18,4.20
1965-05-18,4.21
1965-06-18,4.21
1965-07-18,4.20
1965-08-18,4.25
1965-09-18,4.29
1965-10-18,4.35
1965-11-18,4.45
1965-12-18,4.62
1966-01-18,4.61
1966-02-18,4.83
1966-03-18,4.87
1966-04-18,4.75
1966-05-18,4.78
1966-06-18,4.81
1966-07-18,5.02
1966-08-18,5.22
1966-09-18,5.18
1966-10-18,5.01
1966-11-18,5.16
1966-12-18,4.84
1967-01-18,4.58
1967-02-18,4.63
1967-03-18,4.54
1967-04-18,4.59
1967-05-18,4.85
1967-06-18,5.02
1967-07-18,5.16
1967-08-18,5.28
1967-09-18,5.30
1967-10-18,5.48
1967-11-18,5.75
1967-12-18,5.70
1968-01-18,5.53
1968-02-18,5.56
1968-03-18,5.74
1968-04-18,5.64
1968-05-18,5.87
1968-06-18,5.72
1968-07-18,5.50
1968-08-18,5.42
1968-09-18,5.46
1968-10-18,5.58
1968-11-18,5.70
1968-12-18,6.03
1969-01-18,6.04
1969-02-18,6.19
1969-03-18,6.30
1969-04-18,6.17
1969-05-18,6.32
1969-06-18,6.57
1969-07-18,6.72
1969-08-18,6.69
1969-09-18,7.16
1969-10-18,7.10
1969-11-18,7.14
1969-12-18,7.65
1970-01-18,7.79
1970-02-18,7.24
1970-03-18,7.07
1970-04-18,7.39
1970-05-18,7.91
1970-06-18,7.84
1970-07-18,7.46
1970-08-18,7.53
1970-09-18,7.39
1970-10-18,7.33
1970-11-18,6.84
1970-12-18,6.39
1971-01-18,6.24
1971-02-18,6.11
1971-03-18,5.70
1971-04-18,5.83
1971-05-18,6.39
1971-06-18,6.52
1971-07-18,6.73
1971-08-18,6.58
1971-09-18,6.14
1971-10-18,5.93
1971-11-18,5.81
1971-12-18,5.93
1972-01-18,5.95
1972-02-18,6.08
1972-03-18,6.07
1972-04-18,6.19
1972-05-18,6.13
1972-06-18,6.11
1972-07-18,6.11
1972-08-18,6.21
1972-09-18,6.55
1972-10-18,6.48
1972-11-18,6.28
1972-12-18,6.36
1973-01-18,6.46
1973-02-18,6.64
1973-03-18,6.71
1973-04-18,6.67
1973-05-18,6.85
1973-06-18,6.90
1973-07-18,7.13
1973-08-18,7.40
1973-09-18,7.09
1973-10-18,6.79
1973-11-18,6.73
1973-12-18,6.74
1974-01-18,6.99
1974-02-18,6.96
1974-03-18,7.21
1974-04-18,7.51
1974-05-18,7.58
1974-06-18,7.54
1974-07-18,7.81
1974-08-18,8.04
1974-09-18,8.04
1974-10-18,7.90
1974-11-18,7.68
1974-12-18,7.43
1975-01-18,7.50
1975-02-18,7.39
1975-03-18,7.73
1975-04-18,8.23
